
Fido;dog;2020-01-01;Sit, Stay, Fetch;
Whiskers;cat;2019-05-15;Sit, Pounce;
Hammy;hamster;2021-03-10;Roll, Hide;
Buddy;dog;2018-12-10;Sit, Paw, Bark;
Smudge;cat;2020-02-20;Sit, Pounce, Scratch;
Peanut;hamster;2021-08-01;Roll, Spin;
Bella;dog;2019-11-11;Sit, Stay, Roll;
Oliver;cat;2020-06-30;Meow, Scratch, Jump;
Thunder;horse;2015-07-21;Trot, Canter, Gallop;
Sandy;camel;2016-11-03;Walk, Carry Load;
Eeyore;donkey;2017-09-18;Walk, Carry Load, Bray;
Storm;horse;2014-05-05;Trot, Canter;
Dune;camel;2018-12-12;Walk, Sit;
Burro;donkey;2019-01-23;Walk, Bray, Kick;
Blaze;horse;2016-02-29;Trot, Jump, Gallop;
Sahara;camel;2015-08-14;Walk, Run;
Хом Хомыч;hamster;2023-12-15;Спать, Есть;
Полкан;dog;2020-06-08;Молчать,Спать;
Барс;cat;2302-12-31;Жевать;
Берни;dog;1908-02-12;сосать;
